place,7/3/21,7/4/21,7/5/21,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21
US,29159.0 +/- 1.0,29330.3 +/- 76.7,29498.4 +/- 152.1,29663.2 +/- 227.4,29824.8 +/- 302.7,29983.2 +/- 377.8,30138.7 +/- 452.8,30291.1 +/- 527.8,30440.6 +/- 602.6,30587.2 +/- 677.3,30730.9 +/- 752.0,30871.9 +/- 826.5,31010.2 +/- 901.0,31145.7 +/- 975.3,31278.7 +/- 1049.6,31409.1 +/- 1123.7,31537.0 +/- 1197.8,31662.4 +/- 1271.8,31785.4 +/- 1345.6,31906.0 +/- 1419.4,32024.3 +/- 1493.1,32140.3 +/- 1566.7,32254.1 +/- 1640.2,32365.7 +/- 1713.6,32475.1 +/- 1786.9,32582.4 +/- 1860.2,32687.6 +/- 1933.3,32790.8 +/- 2006.3,32892.0 +/- 2079.3
India,190152.0 +/- 1.0,191286.6 +/- 54.4,192395.5 +/- 97.4,193479.4 +/- 139.8,194538.8 +/- 181.7,195574.2 +/- 223.4,196586.3 +/- 264.8,197575.5 +/- 305.9,198542.4 +/- 346.8,199487.4 +/- 387.4,200411.0 +/- 427.9,201313.8 +/- 468.1,202196.2 +/- 508.1,203058.7 +/- 547.9,203901.6 +/- 587.6,204725.6 +/- 627.0,205530.9 +/- 666.3,206318.0 +/- 705.4,207087.4 +/- 744.3,207839.3 +/- 783.1,208574.3 +/- 821.7,209292.7 +/- 860.2,209994.8 +/- 898.5,210681.1 +/- 936.6,211351.8 +/- 974.7,212007.5 +/- 1012.5,212648.3 +/- 1050.3,213274.6 +/- 1087.9,213886.8 +/- 1125.4
France,6639.0 +/- 1.0,6657.9 +/- 259.2,6676.1 +/- 518.0,6693.5 +/- 776.6,6710.3 +/- 1034.8,6726.3 +/- 1292.7,6741.8 +/- 1550.3,6756.6 +/- 1807.6,6770.9 +/- 2064.6,6784.6 +/- 2321.3,6797.7 +/- 2577.6,6810.3 +/- 2833.7,6822.5 +/- 3089.4,6834.1 +/- 3344.9,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Russia,26697.0 +/- 1.0,27465.1 +/- 63.5,28275.5 +/- 131.2,29132.4 +/- 211.6,30040.5 +/- 307.0,31004.9 +/- 419.9,32031.5 +/- 553.3,33126.4 +/- 710.4,34296.5 +/- 894.9,35549.3 +/- 1111.2,36893.4 +/- 1364.0,38337.8 +/- 1658.8,39892.6 +/- 2001.6,41569.1 +/- 2399.4,43379.4 +/- 2860.1,45337.1 +/- 3392.5,47457.1 +/- 4006.6,49755.6 +/- 4713.8,52250.7 +/- 5526.6,54962.3 +/- 6459.5,57912.1 +/- 7528.5,61124.2 +/- 8751.9,64625.1 +/- 10150.0,68443.8 +/- 11745.9,72612.4 +/- 13565.4,77166.2 +/- 15637.5,82144.0 +/- 17994.9,87588.6 +/- 20674.2,93547.1 +/- 23716.5
United Kingdom,696.0 +/- 1.0,711.1 +/- 10.5,727.0 +/- 21.8,743.8 +/- 35.0,761.5 +/- 50.5,780.1 +/- 68.5,799.9 +/- 89.5,820.8 +/- 113.9,843.0 +/- 142.1,866.7 +/- 174.7,891.8 +/- 212.3,918.6 +/- 255.6,947.1 +/- 305.3,977.7 +/- 362.1,1010.3 +/- 427.1,1045.2 +/- 501.3,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Argentina,31729.0 +/- 1.0,32230.7 +/- 34.6,32734.3 +/- 62.1,33239.7 +/- 90.2,33747.1 +/- 119.0,34256.4 +/- 148.6,34767.6 +/- 179.0,35280.9 +/- 210.3,35796.1 +/- 242.5,36313.3 +/- 275.6,36832.5 +/- 309.6,37353.8 +/- 344.6,37877.1 +/- 380.5,38402.6 +/- 417.3,38930.1 +/- 455.2,39459.8 +/- 494.0,39991.6 +/- 533.8,40525.6 +/- 574.7,41061.8 +/- 616.6,41600.2 +/- 659.5,42140.8 +/- 703.5,42683.7 +/- 748.6,43228.9 +/- 794.8,43776.4 +/- 842.0,44326.2 +/- 890.4,44878.4 +/- 940.0,45432.9 +/- 990.7,45989.9 +/- 1042.5,46549.3 +/- 1095.6
Italy,6830.0 +/- 1.0,6849.1 +/- 4.4,6867.4 +/- 6.1,6884.9 +/- 7.4,6901.8 +/- 8.5,6917.9 +/- 9.4,6933.4 +/- 10.2,6948.2 +/- 10.9,6962.5 +/- 11.5,6976.1 +/- 12.1,6989.2 +/- 12.6,7001.8 +/- 13.1,7013.8 +/- 13.6,7025.4 +/- 14.0,7036.4 +/- 14.4,7047.1 +/- 14.7,7057.2 +/- 15.1,7067.0 +/- 15.4,7076.4 +/- 15.7,7085.3 +/- 16.0,7094.0 +/- 16.2,7102.2 +/- 16.5,7110.1 +/- 16.7,7117.7 +/- 17.0,7125.0 +/- 17.2,7132.0 +/- 17.4,7138.7 +/- 17.6,7145.1 +/- 17.8,7151.3 +/- 17.9
Spain,2695.0 +/- 1.0,2698.2 +/- 5.5,2701.5 +/- 10.8,2704.7 +/- 16.1,2707.8 +/- 21.6,2711.0 +/- 27.2,2714.1 +/- 32.9,2717.1 +/- 38.6,2720.2 +/- 44.5,2723.3 +/- 50.5,2726.3 +/- 56.5,2729.3 +/- 62.7,2732.3 +/- 68.9,2735.2 +/- 75.3,2738.2 +/- 81.7,2741.1 +/- 88.2,2744.0 +/- 94.8,2747.0 +/- 101.5,2749.9 +/- 108.3,2752.8 +/- 115.1,2755.6 +/- 122.1,2758.5 +/- 129.1,2761.4 +/- 136.2,2764.2 +/- 143.4,2767.1 +/- 150.7,2769.9 +/- 158.0,2772.7 +/- 165.4,2775.5 +/- 172.9,2778.4 +/- 180.5
Germany,7943.0 +/- 1.0,7965.7 +/- 84.1,7987.7 +/- 167.9,8009.0 +/- 251.6,8029.6 +/- 335.2,8049.6 +/- 418.7,8068.9 +/- 502.1,8087.6 +/- 585.4,8105.7 +/- 668.6,8123.3 +/- 751.7,8140.3 +/- 834.7,8156.7 +/- 917.6,8172.6 +/- 1000.4,8188.0 +/- 1083.1,8202.9 +/- 1165.7,8217.4 +/- 1248.3,8231.3 +/- 1330.7,8244.9 +/- 1413.0,8258.0 +/- 1495.2,8270.6 +/- 1577.3,8282.9 +/- 1659.3,8294.8 +/- 1741.2,8306.3 +/- 1823.0,8317.4 +/- 1904.8,8328.2 +/- 1986.4,8338.7 +/- 2067.9,8348.8 +/- 2149.3,8358.6 +/- 2230.7,8368.0 +/- 2311.9
Poland,7581.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
