place,7/3/21,7/4/21,7/5/21,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21
US,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
India,13973672.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
France,59539.0 +/- 1.0,59597.7 +/- 21.7,59657.6 +/- 43.2,59718.9 +/- 65.8,59781.5 +/- 89.6,59845.4 +/- 114.8,59910.8 +/- 141.3,59977.6 +/- 169.1,60045.8 +/- 198.5,60115.5 +/- 229.4,60186.7 +/- 261.9,60259.4 +/- 296.0,60333.8 +/- 331.9,60409.7 +/- 369.6,60487.4 +/- 409.2,60566.7 +/- 450.8,60647.7 +/- 494.3,60730.5 +/- 540.0,60815.1 +/- 587.8,60901.5 +/- 638.0,60989.8 +/- 690.4,61080.0 +/- 745.3,61172.2 +/- 802.8,61266.4 +/- 862.8,61362.7 +/- 925.6,61461.0 +/- 991.2,61561.5 +/- 1059.7,61664.1 +/- 1131.2,61769.0 +/- 1205.8
Russia,617039.0 +/- 1.0,635294.7 +/- 135.1,654628.8 +/- 193.9,675153.9 +/- 241.1,696994.6 +/- 282.8,720288.5 +/- 321.3,745187.5 +/- 358.0,771859.6 +/- 393.5,800490.2 +/- 428.3,831283.9 +/- 462.9,864467.1 +/- 497.4,900289.5 +/- 532.2,939027.3 +/- 567.4,980985.1 +/- 603.3,1026499.7 +/- 639.9,1075943.0 +/- 677.4,1129725.7 +/- 716.0,1188301.8 +/- 755.8,1252172.2 +/- 797.0,1321890.6 +/- 839.6,1398068.5 +/- 883.8,1481381.2 +/- 929.7,1572574.8 +/- 977.5,1672473.3 +/- 1027.3,1781986.7 +/- 1079.3,1902120.5 +/- 1133.6,2033985.1 +/- 1190.4,2178807.0 +/- 1249.7,2337940.9 +/- 1311.8
United Kingdom,1079.0 +/- 1.0,1085.7 +/- 11.8,1093.4 +/- 27.1,1102.1 +/- 47.8,1112.1 +/- 75.5,1123.7 +/- 112.4,1137.3 +/- 161.2,1153.1 +/- 225.4,1171.7 +/- 309.3,1193.6 +/- 418.2,1219.4 +/- 558.8,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Argentina,1502518.0 +/- 1.0,1524296.7 +/- 375.3,1546077.2 +/- 729.3,1567859.6 +/- 1091.8,1589643.8 +/- 1463.3,1611429.9 +/- 1844.0,1633218.0 +/- 2234.2,1655008.0 +/- 2634.1,1676800.1 +/- 3043.9,1698594.1 +/- 3463.7,1720390.2 +/- 3893.7,1742188.4 +/- 4334.2,1763988.7 +/- 4785.2,1785791.1 +/- 5247.1,1807595.7 +/- 5720.0,1829402.6 +/- 6204.1,1851211.6 +/- 6699.6,1873023.0 +/- 7206.6,1894836.7 +/- 7725.4,1916652.7 +/- 8256.2,1938471.1 +/- 8799.1,1960291.8 +/- 9354.4,1982115.1 +/- 9922.2,2003940.8 +/- 10502.8,2025769.0 +/- 11096.3,2047599.8 +/- 11702.9,2069433.2 +/- 12322.9,2091269.2 +/- 12956.3,2113107.9 +/- 13603.6
Italy,623722.0 +/- 1.0,626554.3 +/- 53.2,629308.4 +/- 74.7,631986.6 +/- 90.9,634590.8 +/- 104.3,637123.3 +/- 115.8,639585.9 +/- 126.0,641980.6 +/- 135.1,644309.2 +/- 143.5,646573.5 +/- 151.2,648775.5 +/- 158.3,650916.6 +/- 164.9,652998.8 +/- 171.1,655023.4 +/- 176.9,656992.3 +/- 182.4,658906.8 +/- 187.6,660768.5 +/- 192.5,662578.9 +/- 197.1,664339.3 +/- 201.5,666051.1 +/- 205.7,667715.8 +/- 209.7,669334.5 +/- 213.6,670908.6 +/- 217.2,672439.2 +/- 220.7,673927.7 +/- 224.1,675375.0 +/- 227.3,676782.5 +/- 230.3,678151.1 +/- 233.3,679482.0 +/- 236.1
Spain,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Germany,617970.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Poland,155262.0 +/- 1.0,155338.0 +/- 1677.6,155408.4 +/- 3353.2,155473.6 +/- 5026.8,155533.9 +/- 6698.4,155589.7 +/- 8368.1,155641.4 +/- 10035.7,155689.2 +/- 11701.4,155733.5 +/- 13365.2,155774.5 +/- 15026.9,155812.5 +/- 16686.7,155847.6 +/- 18344.5,155880.1 +/- 20000.4,155910.2 +/- 21654.3,155938.1 +/- 23306.2,155963.9 +/- 24956.2,155987.8 +/- 26604.3,156009.9 +/- 28250.4,156030.4 +/- 29894.5,156049.3 +/- 31536.7,156066.8 +/- 33176.9,156083.1 +/- 34815.2,156098.1 +/- 36451.6,156112.0 +/- 38086.0,156124.9 +/- 39718.5,156136.8 +/- 41349.1,156147.9 +/- 42977.7,156158.1 +/- 44604.4,156167.5 +/- 46229.2
