place,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21,8/1/21,8/2/21,8/3/21,8/4/21,8/5/21,8/6/21,8/7/21,8/8/21,8/9/21,8/10/21,8/11/21,8/12/21,8/13/21,8/14/21,8/15/21,8/16/21,8/17/21,8/18/21,8/19/21,8/20/21,8/21/21,8/22/21,8/23/21,8/24/21,8/25/21,8/26/21,8/27/21,8/28/21,8/29/21,8/30/21,8/31/21,9/1/21,9/2/21,9/3/21,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21,9/21/21,9/22/21,9/23/21,9/24/21,9/25/21,9/26/21,9/27/21,9/28/21,9/29/21,9/30/21
Italia,51859.0 +/- 1.0,53424.2 +/- 151.0,55203.7 +/- 349.8,57236.4 +/- 619.6,59567.7 +/- 981.8,62250.5 +/- 1462.9,65346.5 +/- 2095.5,68927.6 +/- 2919.4,73077.7 +/- 3983.5,77894.7 +/- 5347.5,83493.2 +/- 7084.2,90006.4 +/- 9282.4,97590.6 +/- 12050.0,106427.7 +/- 15518.3,116730.5 +/- 19846.3,128747.7 +/- 25227.0,142769.6 +/- 31893.6,159135.6 +/- 40128.2,178242.2 +/- 50271.5,200552.4 +/- 62734.1,226607.8 +/- 78011.3,257040.7 +/- 96699.1,292590.2 +/- 119514.7,334120.2 +/- 147319.8,382639.9 +/- 181149.8,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
FuoriLombardia,43787.0 +/- 1.0,45019.0 +/- 103.6,46411.0 +/- 227.4,47990.3 +/- 385.1,49788.7 +/- 585.8,51842.7 +/- 840.6,54194.6 +/- 1163.2,56893.2 +/- 1570.0,59995.0 +/- 2081.0,63565.5 +/- 2720.3,67680.2 +/- 3517.2,72426.7 +/- 4506.5,77906.4 +/- 5730.7,84236.7 +/- 7240.2,91553.5 +/- 9095.9,100014.1 +/- 11370.7,109800.9 +/- 14151.8,121125.0 +/- 17543.5,134231.0 +/- 21670.5,149402.1 +/- 26681.5,166966.4 +/- 32754.0,187304.2 +/- 40099.5,210855.6 +/- 48970.0,238130.9 +/- 59665.2,269720.9 +/- 72541.7,306310.2 +/- 88023.1,348692.0 +/- 106612.8,397785.0 +/- 128908.0,454653.6 +/- 155617.4,520531.0 +/- 187581.3,596845.8 +/- 225795.6,685253.0 +/- 271439.7,787670.1 +/- 325910.0,906318.5 +/- 390859.3,1043771.7 +/- 468242.1,1203011.2 +/- 560370.0,1387491.2 +/- 669974.5,1601213.5 +/- 800283.2,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
scuola14,36413.0 +/- 1.0,37674.9 +/- 120.7,39127.8 +/- 280.6,40808.9 +/- 501.2,42762.2 +/- 802.4,45039.6 +/- 1209.0,47702.4 +/- 1751.8,50822.8 +/- 2469.5,54486.4 +/- 3409.7,58794.4 +/- 4632.0,63866.1 +/- 6209.6,69843.0 +/- 8233.5,76892.2 +/- 10815.7,85211.2 +/- 14094.1,95033.8 +/- 18238.6,106636.6 +/- 23457.7,120346.7 +/- 30007.3,136550.9 +/- 38200.9,155707.0 +/- 48422.1,178356.5 +/- 61140.0,205140.1 +/- 76927.5,236815.6 +/- 96483.3,274279.8 +/- 120659.5,318593.4 +/- 150493.6,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
FuoriLombardiaEmiliaVeneto,40731.0 +/- 1.0,41755.4 +/- 99.3,42908.9 +/- 221.6,44213.8 +/- 380.9,45695.2 +/- 587.8,47382.7 +/- 855.0,49309.8 +/- 1198.2,51515.7 +/- 1636.1,54045.2 +/- 2191.6,56950.4 +/- 2892.3,60291.3 +/- 3771.4,64137.2 +/- 4868.8,68568.2 +/- 6232.6,73676.9 +/- 7920.4,79570.5 +/- 10001.4,86372.7 +/- 12558.2,94226.5 +/- 15690.0,103297.5 +/- 19515.0,113776.9 +/- 24174.4,125886.0 +/- 29836.7,139880.5 +/- 36702.6,156056.4 +/- 45011.0,174755.6 +/- 55046.2,196374.0 +/- 67146.1,221368.9 +/- 81712.0,250269.7 +/- 99220.5,283688.3 +/- 120236.5,322332.5 +/- 145430.4,367020.9 +/- 175595.8,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Nord,15702.0 +/- 1.0,16223.1 +/- 63.4,16815.4 +/- 141.0,17491.1 +/- 242.8,18264.4 +/- 375.7,19151.6 +/- 548.3,20171.8 +/- 770.8,21347.0 +/- 1055.8,22702.7 +/- 1418.5,24268.5 +/- 1877.3,26078.7 +/- 2454.7,28173.2 +/- 3177.4,30597.9 +/- 4078.1,33406.7 +/- 5196.0,36661.6 +/- 6578.2,40434.7 +/- 8281.5,44809.9 +/- 10373.8,49884.3 +/- 12936.8,55770.7 +/- 16068.4,62600.1 +/- 19885.6,70524.5 +/- 24528.5,79720.3 +/- 30164.5,90392.2 +/- 36993.4,102778.2 +/- 45253.6,117154.1 +/- 55229.5,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Sud,20899.0 +/- 1.0,21549.3 +/- 82.2,22288.1 +/- 188.3,23131.5 +/- 331.7,24098.6 +/- 523.7,25211.5 +/- 778.4,26496.0 +/- 1112.7,27982.3 +/- 1547.8,29705.6 +/- 2109.6,31707.0 +/- 2829.6,34034.8 +/- 3746.6,36745.1 +/- 4907.6,39903.8 +/- 6370.2,43587.8 +/- 8204.3,47887.1 +/- 10494.7,52906.9 +/- 13344.5,58770.4 +/- 16878.4,65621.6 +/- 21247.7,73629.0 +/- 26634.8,82989.7 +/- 33260.4,93934.4 +/- 41390.8,106732.8 +/- 51346.7,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
scuola24,13820.0 +/- 1.0,14207.9 +/- 49.7,14635.9 +/- 107.0,15109.5 +/- 178.8,15634.9 +/- 268.6,16218.9 +/- 380.4,16869.3 +/- 518.7,17594.8 +/- 689.0,18405.0 +/- 897.6,19310.8 +/- 1152.0,20324.4 +/- 1460.6,21459.6 +/- 1833.6,22731.8 +/- 2282.4,24158.2 +/- 2820.7,25758.2 +/- 3464.0,27553.8 +/- 4230.6,29569.3 +/- 5141.4,31832.3 +/- 6220.7,34373.9 +/- 7496.7,37228.8 +/- 9001.9,40436.1 +/- 10773.8,44039.7 +/- 12855.7,48089.1 +/- 15297.6,52639.9 +/- 18157.1,57754.4 +/- 21500.3,63502.9 +/- 25403.8,69964.3 +/- 29955.3,77227.2 +/- 35255.8,85391.5 +/- 41421.5,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Lombardia,8072.0 +/- 1.0,8300.2 +/- 41.9,8556.5 +/- 92.9,8845.5 +/- 159.4,9172.3 +/- 245.7,9543.0 +/- 356.7,9964.5 +/- 498.5,10444.6 +/- 678.5,10992.4 +/- 905.3,11618.3 +/- 1189.5,12334.2 +/- 1543.4,13153.8 +/- 1982.2,14092.8 +/- 2523.5,15169.2 +/- 3188.6,16403.9 +/- 4002.9,17820.6 +/- 4996.2,19446.8 +/- 6204.3,21313.8 +/- 7669.4,23458.0 +/- 9441.9,25920.9 +/- 11581.0,28750.2 +/- 14157.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Centro,11428.0 +/- 1.0,11824.8 +/- 50.2,12274.9 +/- 109.5,12787.2 +/- 186.0,13372.3 +/- 284.5,14042.4 +/- 410.5,14811.3 +/- 571.0,15695.4 +/- 774.6,16713.4 +/- 1031.3,17887.2 +/- 1353.6,19241.9 +/- 1756.3,20806.6 +/- 2257.5,22615.3 +/- 2878.6,24707.1 +/- 3645.7,27127.4 +/- 4590.0,29928.9 +/- 5748.9,33172.5 +/- 7167.2,36929.0 +/- 8898.5,41280.4 +/- 11007.0,46321.6 +/- 13569.2,52162.8 +/- 16676.5,58931.6 +/- 20438.1,66776.2 +/- 24983.9,75867.9 +/- 30468.6,86405.8 +/- 37076.4,98620.5 +/- 45026.4,112779.2 +/- 54578.8,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Veneto,3056.0 +/- 1.0,3234.9 +/- 43.0,3447.0 +/- 99.0,3698.9 +/- 175.3,3998.7 +/- 278.5,4356.0 +/- 416.9,4782.2 +/- 600.9,5291.1 +/- 843.7,5899.2 +/- 1162.1,6626.1 +/- 1576.6,7495.5 +/- 2113.6,8535.7 +/- 2805.4,9780.5 +/- 3693.0,11270.5 +/- 4826.9,13054.3 +/- 6270.3,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
