place,6/24/21,6/25/21,6/26/21,6/27/21,6/28/21,6/29/21,6/30/21,7/1/21,7/2/21,7/3/21,7/4/21,7/5/21,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21
Italia,600453.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
FuoriLombardia,524801.0 +/- 1.0,528273.9 +/- 58.9,531650.9 +/- 82.8,534934.5 +/- 100.7,538127.3 +/- 115.4,541231.9 +/- 128.2,544250.6 +/- 139.5,547185.9 +/- 149.6,550040.1 +/- 158.9,552815.3 +/- 167.4,555513.9 +/- 175.3,558137.9 +/- 182.6,560689.3 +/- 189.4,563170.2 +/- 195.9,565582.5 +/- 201.9,567928.1 +/- 207.7,570208.9 +/- 213.1,572426.7 +/- 218.2,574583.1 +/- 223.1,576679.9 +/- 227.8,578718.8 +/- 232.2,580701.3 +/- 236.4,582629.0 +/- 240.5,584503.5 +/- 244.3,586326.1 +/- 248.0,588098.3 +/- 251.6,589821.5 +/- 255.0,591497.1 +/- 258.3,593126.4 +/- 261.4,594710.7 +/- 264.4,596251.1 +/- 267.3,597749.0 +/- 270.1,599205.5 +/- 272.8,600621.7 +/- 275.4,601998.7 +/- 277.8,603337.7 +/- 280.2,604639.7 +/- 282.6,605905.7 +/- 284.8
scuola14,359434.0 +/- 1.0,361307.8 +/- 53.1,363113.8 +/- 85.5,364854.4 +/- 115.4,366532.0 +/- 143.6,368148.9 +/- 170.7,369707.2 +/- 196.7,371209.1 +/- 221.7,372656.6 +/- 245.8,374051.8 +/- 269.0,375396.4 +/- 291.3,376692.3 +/- 312.9,377941.3 +/- 333.8,379145.1 +/- 353.9,380305.4 +/- 373.3,381423.6 +/- 392.1,382501.3 +/- 410.2,383540.0 +/- 427.7,384541.2 +/- 444.6,385506.0 +/- 460.9,386436.0 +/- 476.7,387332.2 +/- 492.0,388196.1 +/- 506.7,389028.6 +/- 521.0,389831.0 +/- 534.8,390604.4 +/- 548.1,391349.7 +/- 561.0,392068.1 +/- 573.4,392760.5 +/- 585.5,393427.8 +/- 597.2,394070.9 +/- 608.4,394690.8 +/- 619.3,395288.2 +/- 629.9,395864.0 +/- 640.1,396419.0 +/- 650.0,396953.8 +/- 659.5,397469.3 +/- 668.7,397966.1 +/- 677.7
FuoriLombardiaEmiliaVeneto,494716.0 +/- 1.0,498094.6 +/- 58.1,501383.9 +/- 81.7,504586.3 +/- 99.3,507704.0 +/- 114.0,510739.2 +/- 126.6,513694.2 +/- 137.8,516571.1 +/- 147.8,519371.9 +/- 157.0,522098.7 +/- 165.5,524753.4 +/- 173.3,527337.9 +/- 180.6,529854.0 +/- 187.5,532303.7 +/- 193.9,534688.6 +/- 199.9,537010.4 +/- 205.7,539270.9 +/- 211.1,541471.5 +/- 216.2,543614.1 +/- 221.1,545699.9 +/- 225.8,547730.6 +/- 230.2,549707.7 +/- 234.5,551632.4 +/- 238.6,553506.3 +/- 242.5,555330.6 +/- 246.2,557106.7 +/- 249.8,558835.9 +/- 253.2,560519.3 +/- 256.5,562158.2 +/- 259.7,563753.8 +/- 262.8,565307.2 +/- 265.7,566819.5 +/- 268.5,568291.9 +/- 271.2,569725.3 +/- 273.9,571120.8 +/- 276.4,572479.5 +/- 278.9,573802.2 +/- 281.2,575089.9 +/- 283.5
Nord,160758.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Sud,258872.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
scuola24,218200.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Lombardia,75652.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Centro,122334.0 +/- 1.0,123127.9 +/- 28.2,123898.8 +/- 39.6,124647.2 +/- 48.1,125373.9 +/- 55.1,126079.5 +/- 61.2,126764.6 +/- 66.6,127429.8 +/- 71.4,128075.7 +/- 75.8,128702.7 +/- 79.8,129311.6 +/- 83.5,129902.8 +/- 87.0,130476.8 +/- 90.2,131034.1 +/- 93.3,131575.2 +/- 96.1,132100.6 +/- 98.8,132610.8 +/- 101.4,133106.1 +/- 103.8,133587.0 +/- 106.1,134053.9 +/- 108.3,134507.3 +/- 110.3,134947.5 +/- 112.3,135374.9 +/- 114.2,135789.9 +/- 116.0,136192.9 +/- 117.7,136584.1 +/- 119.4,136963.9 +/- 121.0,137332.8 +/- 122.5,137690.9 +/- 123.9,138038.6 +/- 125.3,138376.2 +/- 126.7,138704.0 +/- 127.9,139022.2 +/- 129.2,139331.2 +/- 130.4,139631.3 +/- 131.5,139922.6 +/- 132.6,140205.4 +/- 133.7,140480.1 +/- 134.7
Veneto,30085.0 +/- 1.0,30189.1 +/- 10.2,30289.5 +/- 14.3,30386.2 +/- 17.4,30479.3 +/- 19.9,30569.1 +/- 22.0,30655.6 +/- 23.9,30738.9 +/- 25.6,30819.2 +/- 27.1,30896.6 +/- 28.5,30971.2 +/- 29.8,31043.0 +/- 31.0,31112.2 +/- 32.1,31178.9 +/- 33.1,31243.2 +/- 34.0,31305.1 +/- 34.9,31364.7 +/- 35.8,31422.2 +/- 36.6,31477.6 +/- 37.3,31531.0 +/- 38.0,31582.4 +/- 38.7,31631.9 +/- 39.3,31679.7 +/- 39.9,31725.7 +/- 40.5,31770.0 +/- 41.0,31812.7 +/- 41.6,31853.8 +/- 42.1,31893.5 +/- 42.5,31931.7 +/- 43.0,31968.5 +/- 43.4,32003.9 +/- 43.8,32038.1 +/- 44.2,32071.0 +/- 44.6,32102.8 +/- 44.9,32133.3 +/- 45.3,32162.8 +/- 45.6,32191.2 +/- 45.9,32218.5 +/- 46.2
