place,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21,8/1/21,8/2/21,8/3/21,8/4/21,8/5/21,8/6/21,8/7/21,8/8/21,8/9/21,8/10/21,8/11/21,8/12/21,8/13/21,8/14/21,8/15/21,8/16/21,8/17/21,8/18/21,8/19/21,8/20/21,8/21/21,8/22/21,8/23/21,8/24/21,8/25/21,8/26/21,8/27/21,8/28/21,8/29/21,8/30/21,8/31/21,9/1/21,9/2/21,9/3/21,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21,9/21/21,9/22/21,9/23/21,9/24/21,9/25/21,9/26/21,9/27/21,9/28/21,9/29/21,9/30/21
Italia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FuoriLombardia,1.0,57.6,92.2,124.2,155.1,185.1,214.4,243.2,271.4,299.1,326.3,353.1,379.4,405.3,430.7,455.8,480.4,504.6,528.4,551.9,575.0,597.7,620.0,642.0,663.6,684.9,705.8,726.4,746.7,766.6,786.2,805.5,824.6,843.3,861.7,879.8,897.6,915.1,932.4,949.4,966.1,982.6,998.8,1014.7,1030.4,1045.8,1061.0,1076.0,1090.7,1105.2,1119.4,1133.5,1147.3,1160.9,1174.2,1187.4,1200.4,1213.1,1225.7,1238.0,1250.2,1262.2,1274.0,1285.6,1297.0,1308.2,1319.3,1330.2,1340.9,1351.5,1361.9,1372.1,1382.2,1392.1,1401.8,1411.5,1420.9,1430.2,1439.4,1448.4,1457.3,1466.1
scuola14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FuoriLombardiaEmiliaVeneto,1.0,47.5,67.0,81.7,94.0,104.7,114.3,123.0,131.0,138.4,145.4,151.9,158.1,163.9,169.5,174.8,179.9,184.8,189.4,193.9,198.3,202.4,206.5,210.3,214.1,217.8,221.3,224.7,228.0,231.3,234.4,237.4,240.4,243.3,246.1,248.8,251.5,254.1,256.6,259.1,261.5,263.9,266.2,268.4,270.6,272.7,274.8,276.9,278.9,280.8,282.8,284.6,286.5,288.3,290.0,291.7,293.4,295.1,296.7,298.3,299.8,301.4,302.8,304.3,305.7,307.1,308.5,309.9,311.2,312.5,313.8,315.0,316.3,317.5,318.6,319.8,320.9,322.1,323.2,324.2,325.3,326.3
Nord,1.0,23.2,32.7,39.8,45.8,50.9,55.5,59.7,63.5,67.0,70.3,73.4,76.3,79.1,81.7,84.2,86.5,88.8,90.9,93.0,95.0,96.9,98.7,100.5,102.2,103.8,105.4,107.0,108.5,109.9,111.3,112.6,113.9,115.2,116.4,117.6,118.8,119.9,121.0,122.1,123.1,124.1,125.1,126.0,127.0,127.9,128.7,129.6,130.4,131.2,132.0,132.8,133.6,134.3,135.0,135.7,136.4,137.1,137.7,138.4,139.0,139.6,140.2,140.8,141.3,141.9,142.4,142.9,143.5,144.0,144.4,144.9,145.4,145.9,146.3,146.7,147.2,147.6,148.0,148.4,148.8,149.2
Sud,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scuola24,1.0,182000.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lombardia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centro,1.0,24.9,35.1,42.8,49.3,54.9,59.9,64.4,68.6,72.5,76.1,79.6,82.8,85.8,88.8,91.5,94.2,96.7,99.2,101.5,103.7,105.9,108.0,110.0,112.0,113.9,115.7,117.5,119.2,120.9,122.5,124.1,125.6,127.1,128.6,130.0,131.4,132.7,134.1,135.3,136.6,137.8,139.0,140.1,141.3,142.4,143.5,144.5,145.5,146.6,147.5,148.5,149.5,150.4,151.3,152.2,153.0,153.9,154.7,155.5,156.3,157.1,157.9,158.6,159.4,160.1,160.8,161.5,162.1,162.8,163.5,164.1,164.7,165.3,165.9,166.5,167.1,167.7,168.3,168.8,169.3,169.9
Veneto,1.0,9.6,13.6,16.6,19.0,21.2,23.1,24.9,26.5,27.9,29.3,30.6,31.9,33.0,34.1,35.2,36.2,37.1,38.1,38.9,39.8,40.6,41.4,42.2,42.9,43.6,44.3,45.0,45.6,46.2,46.8,47.4,48.0,48.5,49.1,49.6,50.1,50.6,51.1,51.5,52.0,52.4,52.9,53.3,53.7,54.1,54.5,54.9,55.3,55.6,56.0,56.3,56.7,57.0,57.3,57.6,58.0,58.3,58.6,58.8,59.1,59.4,59.7,59.9,60.2,60.5,60.7,61.0,61.2,61.4,61.7,61.9,62.1,62.3,62.5,62.7,62.9,63.1,63.3,63.5,63.7,63.9
