place,6/14/21,6/15/21,6/16/21,6/17/21,6/18/21,6/19/21,6/20/21,6/21/21,6/22/21,6/23/21,6/24/21,6/25/21,6/26/21,6/27/21,6/28/21,6/29/21,6/30/21,7/1/21,7/2/21,7/3/21,7/4/21,7/5/21,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21
Italia,6231.0 +/- 1.0,6277.9 +/- 17.3,6323.0 +/- 33.1,6366.4 +/- 48.9,6408.1 +/- 64.6,6448.3 +/- 80.4,6486.9 +/- 96.1,6524.1 +/- 111.8,6559.8 +/- 127.5,6594.3 +/- 143.1,6627.4 +/- 158.7,6659.2 +/- 174.3,6689.9 +/- 189.9,6719.4 +/- 205.5,6747.7 +/- 221.0,6775.0 +/- 236.5,6801.3 +/- 252.0,6826.6 +/- 267.4,6850.9 +/- 282.9,6874.3 +/- 298.3,6896.8 +/- 313.7,6918.4 +/- 329.0,6939.2 +/- 344.4,6959.3 +/- 359.7,6978.6 +/- 375.0,6997.1 +/- 390.2,7015.0 +/- 405.5,7032.1 +/- 420.7,7048.6 +/- 435.9,7064.5 +/- 451.1,7079.8 +/- 466.3,7094.6 +/- 481.5,7108.7 +/- 496.6,7122.3 +/- 511.7,7135.4 +/- 526.8,7148.0 +/- 541.9,7160.2 +/- 557.0,7171.8 +/- 572.0,7183.1 +/- 587.1,7193.9 +/- 602.1,7204.3 +/- 617.1,7214.3 +/- 632.1,7223.9 +/- 647.1,7233.1 +/- 662.0,7242.1 +/- 677.0,7250.6 +/- 691.9,7258.9 +/- 706.9,7266.8 +/- 721.8
FuoriLombardia,5372.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
scuola14,3984.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
FuoriLombardiaEmiliaVeneto,5102.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Nord,1841.0 +/- 1.0,1852.2 +/- 3.4,1862.9 +/- 4.9,1873.2 +/- 6.0,1883.0 +/- 6.9,1892.3 +/- 7.8,1901.2 +/- 8.5,1909.8 +/- 9.2,1917.9 +/- 9.8,1925.7 +/- 10.4,1933.1 +/- 11.0,1940.3 +/- 11.5,1947.1 +/- 11.9,1953.5 +/- 12.4,1959.7 +/- 12.8,1965.7 +/- 13.2,1971.3 +/- 13.6,1976.7 +/- 13.9,1981.9 +/- 14.2,1986.9 +/- 14.6,1991.6 +/- 14.8,1996.1 +/- 15.1,2000.4 +/- 15.4,2004.5 +/- 15.6,2008.4 +/- 15.9,2012.2 +/- 16.1,2015.8 +/- 16.3,2019.2 +/- 16.5,2022.5 +/- 16.7,2025.6 +/- 16.9,2028.6 +/- 17.1,2031.5 +/- 17.2,2034.2 +/- 17.4,2036.8 +/- 17.6,2039.3 +/- 17.7,2041.7 +/- 17.8,2044.0 +/- 18.0,2046.1 +/- 18.1,2048.2 +/- 18.2,2050.2 +/- 18.3,2052.1 +/- 18.4,2053.9 +/- 18.5,2055.6 +/- 18.6,2057.3 +/- 18.7,2058.9 +/- 18.8,2060.4 +/- 18.9,2061.8 +/- 19.0,2063.2 +/- 19.0
Sud,2537.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
scuola24,2066.0 +/- 1.0,2080.4 +/- 5.2,2094.2 +/- 8.8,2107.6 +/- 12.3,2120.4 +/- 15.8,2132.8 +/- 19.2,2144.8 +/- 22.5,2156.4 +/- 25.8,2167.5 +/- 29.1,2178.3 +/- 32.3,2188.6 +/- 35.5,2198.6 +/- 38.6,2208.2 +/- 41.7,2217.5 +/- 44.8,2226.5 +/- 47.8,2235.1 +/- 50.8,2243.5 +/- 53.7,2251.5 +/- 56.6,2259.3 +/- 59.4,2266.7 +/- 62.2,2274.0 +/- 64.9,2280.9 +/- 67.6,2287.6 +/- 70.2,2294.1 +/- 72.8,2300.3 +/- 75.3,2306.3 +/- 77.8,2312.1 +/- 80.3,2317.7 +/- 82.7,2323.1 +/- 85.0,2328.3 +/- 87.3,2333.4 +/- 89.6,2338.2 +/- 91.8,2342.9 +/- 94.0,2347.4 +/- 96.1,2351.7 +/- 98.2,2355.9 +/- 100.2,2359.9 +/- 102.2,2363.8 +/- 104.2,2367.6 +/- 106.1,2371.2 +/- 107.9,2374.7 +/- 109.8,2378.1 +/- 111.6,2381.3 +/- 113.3,2384.5 +/- 115.0,2387.5 +/- 116.7,2390.4 +/- 118.3,2393.2 +/- 119.9,2395.9 +/- 121.5
Lombardia,859.0 +/- 1.0,864.9 +/- 2.4,870.6 +/- 3.4,876.2 +/- 4.1,881.5 +/- 4.7,886.6 +/- 5.3,891.5 +/- 5.7,896.3 +/- 6.1,900.9 +/- 6.5,905.3 +/- 6.8,909.6 +/- 7.1,913.8 +/- 7.4,917.8 +/- 7.7,921.6 +/- 7.9,925.4 +/- 8.1,929.0 +/- 8.4,932.5 +/- 8.6,935.9 +/- 8.8,939.2 +/- 9.0,942.4 +/- 9.1,945.5 +/- 9.3,948.5 +/- 9.5,951.4 +/- 9.6,954.3 +/- 9.8,957.0 +/- 9.9,959.7 +/- 10.0,962.3 +/- 10.2,964.8 +/- 10.3,967.3 +/- 10.4,969.7 +/- 10.5,972.0 +/- 10.6,974.3 +/- 10.7,976.5 +/- 10.8,978.7 +/- 10.9,980.8 +/- 11.0,982.9 +/- 11.1,984.9 +/- 11.2,986.9 +/- 11.3,988.8 +/- 11.4,990.7 +/- 11.5,992.6 +/- 11.6,994.4 +/- 11.6,996.2 +/- 11.7,997.9 +/- 11.8,999.6 +/- 11.9,1001.3 +/- 11.9,1003.0 +/- 12.0,1004.6 +/- 12.1
Centro,1481.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Veneto,270.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
