place,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21
Italia,1.0,4.2,5.9,7.1,8.1,9.0,9.8,10.4,11.1,11.6,12.1,12.6,13.0,13.4,13.8,14.2,14.5,14.8,15.1,15.4,15.6,15.9,16.1,16.3,16.5,16.7
FuoriLombardia,1.0,4.0,5.5,6.7,7.7,8.5,9.2,9.9,10.4,11.0,11.5,11.9,12.3,12.7,13.1,13.4,13.7,14.0,14.3,14.6,14.8,15.0,15.3,15.5,15.7,15.9
scuola14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FuoriLombardiaEmiliaVeneto,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nord,1.0,1.9,2.6,3.1,3.6,3.9,4.3,4.6,4.8,5.1,5.3,5.5,5.6,5.8,6.0,6.1,6.2,6.4,6.5,6.6,6.7,6.8,6.9,7.0,7.1,7.1
Sud,1.0,3.1,4.5,5.6,6.6,7.5,8.3,9.1,9.8,10.5,11.2,11.8,12.4,13.0,13.5,14.0,14.5,15.0,15.5,15.9,16.3,16.8,17.1,17.5,17.9,18.2
scuola24,1.0,63.4,126.6,189.7,252.8,315.7,378.6,441.4,504.1,566.7,629.2,691.7,754.0,816.3,878.5,940.6,1002.6,1064.5,1126.3,1188.1,0.0,0.0,0.0,0.0,0.0,0.0
Lombardia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centro,1.0,19.5,38.9,58.3,77.6,96.9,116.2,135.4,154.6,173.8,193.0,212.1,231.2,250.3,269.3,288.3,307.3,326.3,345.2,364.1,383.0,401.8,420.7,439.5,458.2,476.9
Veneto,1.0,15.2,30.4,45.7,61.2,76.7,92.3,107.9,123.7,139.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campania,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EmiliaRomagna,1.0,1.2,1.9,2.6,3.3,4.0,4.6,5.2,5.9,6.5,7.1,7.8,8.4,9.0,9.6,10.2,10.8,11.4,12.1,12.7,13.2,13.8,14.4,15.0,15.6,16.2
Piemonte,1.0,0.9,1.2,1.5,1.7,1.9,2.0,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.9,3.0,3.0,3.1,3.2,3.2,3.3,3.3,3.3,3.4,3.4
Lazio,1.0,15.3,39.3,77.1,135.9,225.9,361.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puglia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toscana,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sicilia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FriuliVeneziaGiulia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marche,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liguria,1.0,10.5,24.6,42.6,64.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abruzzo,1.0,3.6,6.9,10.3,13.7,17.1,20.5,24.0,27.4,30.9,34.3,37.8,41.3,44.8,48.3,51.9,55.4,58.9,62.5,66.1,69.7,0.0,0.0,0.0,0.0,0.0
scuola7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolzano,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calabria,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sardegna,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Umbria,1.0,2.9,5.5,8.1,10.7,13.3,15.9,18.6,21.2,23.8,26.5,29.2,31.8,34.5,37.2,39.9,42.6,45.3,48.0,50.7,0.0,0.0,0.0,0.0,0.0,0.0
Molise,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valled'Aosta,1.0,1.1,1.5,1.9,2.1,2.4,2.6,2.8,3.0,3.2,3.4,3.6,3.7,3.9,4.0,4.2,4.3,4.4,4.6,4.7,4.8,4.9,5.0,5.2,5.3,5.4
