place,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21,8/1/21,8/2/21,8/3/21,8/4/21,8/5/21,8/6/21,8/7/21,8/8/21,8/9/21,8/10/21,8/11/21,8/12/21,8/13/21,8/14/21,8/15/21,8/16/21,8/17/21,8/18/21,8/19/21,8/20/21,8/21/21,8/22/21,8/23/21,8/24/21,8/25/21,8/26/21,8/27/21,8/28/21,8/29/21,8/30/21,8/31/21,9/1/21,9/2/21,9/3/21,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21,9/21/21,9/22/21,9/23/21,9/24/21,9/25/21,9/26/21,9/27/21,9/28/21,9/29/21,9/30/21
Italia,1.0,1.0,19.3,33.8,48.4,63.2,78.3,93.7,109.4,125.4,141.7,158.3,175.3,192.5,210.0,227.8,245.9,264.3,283.0,301.9,321.1,340.5,360.2,380.1,400.3,420.7,441.3,462.1,483.1,504.3,525.7,547.3,569.0,590.9,613.0,635.2,657.6,680.0,702.7,725.4,748.2,771.2,794.2,817.3,840.5,863.8,887.2,910.6,934.0,957.5,981.1,1004.6,1028.2,1051.8,1075.5,1099.1,1122.7,1146.3,1169.9,1193.5,1217.1,1240.6,1264.2,1287.6,1311.1,1334.4,1357.8,1381.0,1404.2,1427.4,1450.5,1473.5,1496.4,1519.3,1542.1,1564.7,1587.3,1609.9,1632.3,1654.6,1676.8,1699.0,1721.0,1742.9,1764.7
FuoriLombardia,1.0,1.0,1.0,1.0,1.0,16.4,27.7,37.5,46.9,56.1,65.1,74.0,82.9,91.7,100.5,109.3,118.1,126.8,135.6,144.4,153.1,161.9,170.7,179.4,188.2,196.9,205.7,214.5,223.3,232.0,240.8,249.6,258.4,267.2,276.0,284.8,293.6,302.4,311.2,320.1,328.9,337.7,346.6,355.4,364.2,373.1,381.9,390.8,399.6,408.5,417.4,426.2,435.1,444.0,452.8,461.7,470.6,479.5,488.4,497.3,506.2,515.1,524.0,532.9,541.8,550.7,559.6,568.5,577.4,586.3,595.2,604.1,613.0,622.0,630.9,639.8,648.7,657.7,666.6,675.5,684.4,693.4,702.3,711.2,720.2
scuola14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FuoriLombardiaEmiliaVeneto,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,30.8,40.7,49.8,58.5,67.0,75.3,83.5,91.6,99.6,107.5,115.4,123.3,131.1,138.9,146.7,154.4,162.2,169.9,177.5,185.2,192.9,200.5,208.1,215.7,223.3,230.9,238.4,246.0,253.5,261.0,268.5,276.0,283.5,291.0,298.4,305.9,313.3,320.7,328.1,335.5,342.9,350.3,357.7,365.0,372.4,379.7,387.0,394.3,401.6,408.9,416.2,423.4,430.7,437.9,445.1,452.3,459.5,466.7,473.9,481.1,488.2,495.4,502.5,509.6,516.8,523.9,530.9,538.0,545.1,552.1,559.2,566.2,573.2,580.3,587.2,594.2
Nord,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sud,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.2,25.7,33.7,40.9,47.8,54.5,61.1,67.5,73.9,80.2,86.5,92.8,99.1,105.3,111.6,117.8,124.0,130.3,136.5,142.8,149.0,155.2,161.5,167.7,174.0,180.3,186.5,192.8,199.1,205.4,211.7,218.0,224.3,230.6,236.9,243.3,249.6,256.0,262.3,268.7,275.0,281.4,287.8,294.2,300.5,306.9,313.3,319.8,326.2,332.6,339.0,345.4,351.9,358.3,364.7,371.2,377.6,384.1,390.5,397.0,403.5,409.9,416.4,422.9,429.4,435.8,442.3,448.8,455.3,461.8,468.3,474.8,481.3,487.8,494.2
scuola24,1.0,1.0,1.0,4.0,15.1,23.5,31.4,39.2,47.0,54.8,62.7,70.6,78.6,86.6,94.7,102.9,111.1,119.4,127.7,136.1,144.6,153.1,161.7,170.4,179.1,187.8,196.6,205.5,214.4,223.4,232.4,241.4,250.5,259.7,268.9,278.1,287.4,296.7,306.1,315.5,324.9,334.4,343.9,353.5,363.0,372.7,382.3,392.0,401.7,411.4,421.1,430.9,440.7,450.5,460.4,470.2,480.1,490.0,500.0,509.9,519.8,529.8,539.8,549.8,559.8,569.8,579.9,589.9,600.0,610.0,620.1,630.1,640.2,650.3,660.4,670.5,680.5,690.6,700.7,710.8,720.9,731.0,741.1,751.1,761.2
Lombardia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centro,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Veneto,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
