place,6/26/21,6/27/21,6/28/21,6/29/21,6/30/21,7/1/21,7/2/21,7/3/21,7/4/21,7/5/21,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21
Italia,-17169.0 +/- 1.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0,-17169.0 +/- 0.0
FuoriLombardia,-13943.0 +/- 1.0,-13933.6 +/- 3.1,-13924.3 +/- 4.3,-13914.9 +/- 5.3,-13905.6 +/- 6.1,-13896.2 +/- 6.8,-13886.8 +/- 7.5,-13877.5 +/- 8.1,-13868.1 +/- 8.7,-13858.8 +/- 9.2,-13849.4 +/- 9.7,-13840.0 +/- 10.1,-13830.7 +/- 10.6,-13821.3 +/- 11.0,-13812.0 +/- 11.4,-13802.6 +/- 11.8,-13793.2 +/- 12.2,-13783.9 +/- 12.6,-13774.5 +/- 13.0,-13765.2 +/- 13.3,-13755.8 +/- 13.7,-13746.5 +/- 14.0,-13737.1 +/- 14.3,-13727.7 +/- 14.7,-13718.4 +/- 15.0,-13709.0 +/- 15.3,-13699.7 +/- 15.6,-13690.3 +/- 15.9,-13680.9 +/- 16.2,-13671.6 +/- 16.5,-13662.2 +/- 16.8,-13652.9 +/- 17.0,-13643.5 +/- 17.3,-13634.1 +/- 17.6,-13624.8 +/- 17.8,-13615.4 +/- 18.1
scuola14,-12898.0 +/- 1.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0,-12898.0 +/- 0.0
FuoriLombardiaEmiliaVeneto,-13038.0 +/- 1.0,-13033.4 +/- 2.2,-13028.7 +/- 3.0,-13024.1 +/- 3.7,-13019.5 +/- 4.3,-13014.8 +/- 4.8,-13010.2 +/- 5.3,-13005.6 +/- 5.7,-13000.9 +/- 6.1,-12996.3 +/- 6.5,-12991.7 +/- 6.8,-12987.0 +/- 7.1,-12982.4 +/- 7.5,-12977.8 +/- 7.8,-12973.1 +/- 8.1,-12968.5 +/- 8.3,-12963.9 +/- 8.6,-12959.3 +/- 8.9,-12954.6 +/- 9.1,-12950.0 +/- 9.4,-12945.4 +/- 9.6,-12940.7 +/- 9.9,-12936.1 +/- 10.1,-12931.5 +/- 10.3,-12926.8 +/- 10.5,-12922.2 +/- 10.8,-12917.6 +/- 11.0,-12912.9 +/- 11.2,-12908.3 +/- 11.4,-12903.7 +/- 11.6,-12899.0 +/- 11.8,-12894.4 +/- 12.0,-12889.8 +/- 12.2,-12885.1 +/- 12.4,-12880.5 +/- 12.5,-12875.9 +/- 12.7
Nord,-6861.0 +/- 1.0,-6879.2 +/- 1.0,-6896.0 +/- 1.0,-6911.5 +/- 1.0,-6925.7 +/- 1.0,-6938.7 +/- 1.0,-6950.5 +/- 1.0,-6961.4 +/- 1.0,-6971.2 +/- 1.0,-6980.2 +/- 1.0,-6988.3 +/- 1.0,-6995.6 +/- 1.0,-7002.2 +/- 1.0,-7008.2 +/- 1.0,-7013.6 +/- 1.0,-7018.4 +/- 1.0,-7022.7 +/- 1.0,-7026.5 +/- 1.0,-7029.9 +/- 1.0,-7033.0 +/- 1.0,-7035.7 +/- 1.0,-7038.1 +/- 1.0,-7040.2 +/- 1.0,-7042.0 +/- 1.0,-7043.7 +/- 1.0,-7045.1 +/- 1.0,-7046.4 +/- 1.0,-7047.5 +/- 1.0,-7048.5 +/- 1.0,-7049.3 +/- 1.0,-7050.0 +/- 1.0,-7050.7 +/- 1.0,-7051.2 +/- 1.0,-7051.7 +/- 1.0,-7052.1 +/- 1.0,-7052.4 +/- 1.0
Sud,-4616.0 +/- 1.0,-4631.1 +/- 1.0,-4644.7 +/- 1.0,-4656.9 +/- 1.0,-4667.8 +/- 1.0,-4677.6 +/- 1.0,-4686.3 +/- 1.0,-4693.9 +/- 1.0,-4700.6 +/- 1.0,-4706.5 +/- 1.0,-4711.6 +/- 1.0,-4716.0 +/- 1.0,-4719.8 +/- 1.0,-4723.1 +/- 1.0,-4725.9 +/- 1.0,-4728.2 +/- 1.0,-4730.3 +/- 1.0,-4731.9 +/- 1.0,-4733.4 +/- 1.0,-4734.6 +/- 1.0,-4735.5 +/- 1.0,-4736.3 +/- 1.0,-4737.0 +/- 1.0,-4737.6 +/- 1.0,-4738.0 +/- 1.0,-4738.4 +/- 1.0,-4738.7 +/- 1.0,-4738.9 +/- 1.0,-4739.1 +/- 1.0,-4739.2 +/- 1.0,-4739.4 +/- 1.0,-4739.4 +/- 1.0,-4739.5 +/- 1.0,-4739.6 +/- 1.0,-4739.6 +/- 1.0,-4739.7 +/- 1.0
scuola24,-3785.0 +/- 1.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0,-3785.0 +/- 0.0
Lombardia,-3226.0 +/- 1.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0,-3226.0 +/- 0.0
Centro,-4110.0 +/- 1.0,-4110.0 +/- 1.0,-4110.0 +/- 1.0,-4110.0 +/- 1.0,-4110.0 +/- 1.0,-4110.0 +/- 1.0,-4110.0 +/- 1.0,-4110.0 +/- 1.0,-4110.0 +/- 1.0,-4110.0 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0,-4110.1 +/- 1.0
Veneto,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0,-905.0 +/- 1.0
