place,6/14/21,6/15/21,6/16/21,6/17/21,6/18/21,6/19/21,6/20/21,6/21/21,6/22/21,6/23/21,6/24/21,6/25/21,6/26/21,6/27/21,6/28/21,6/29/21,6/30/21,7/1/21,7/2/21,7/3/21,7/4/21,7/5/21,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21
Italia,-2047.0 +/- 1.0,-2028.1 +/- 4.4,-2009.1 +/- 6.2,-1990.1 +/- 7.5,-1970.9 +/- 8.7,-1951.5 +/- 9.8,-1931.7 +/- 10.7,-1911.7 +/- 11.6,-1891.2 +/- 12.5,-1870.3 +/- 13.3,-1848.9 +/- 14.1,-1827.0 +/- 14.8,-1804.5 +/- 15.6,-1781.4 +/- 16.3,-1757.8 +/- 17.0,-1733.5 +/- 17.7,-1708.6 +/- 18.4,-1683.0 +/- 19.1,-1656.8 +/- 19.8,-1630.0 +/- 20.4,-1602.5 +/- 21.1,-1574.4 +/- 21.7,-1545.6 +/- 22.4,-1516.2 +/- 23.0,-1486.3 +/- 23.7,-1455.7 +/- 24.3,-1424.5 +/- 24.9,-1392.8 +/- 25.6,-1360.6 +/- 26.2,-1327.8 +/- 26.8,-1294.6 +/- 27.4,-1260.9 +/- 28.0,-1226.7 +/- 28.6,-1192.2 +/- 29.2,-1157.2 +/- 29.8,-1121.9 +/- 30.4,-1086.3 +/- 31.0,-1050.3 +/- 31.6,-1014.0 +/- 32.1,-977.5 +/- 32.7,-940.8 +/- 33.3,-903.8 +/- 33.8,-866.6 +/- 34.4,-829.3 +/- 34.9,-791.8 +/- 35.4,-754.2 +/- 36.0,-716.4 +/- 36.5,-678.6 +/- 37.0
FuoriLombardia,-1606.0 +/- 1.0,-1588.8 +/- 4.1,-1572.1 +/- 5.8,-1556.0 +/- 7.1,-1540.4 +/- 8.1,-1525.3 +/- 9.0,-1510.7 +/- 9.8,-1496.5 +/- 10.5,-1482.7 +/- 11.1,-1469.2 +/- 11.7,-1456.2 +/- 12.2,-1443.5 +/- 12.7,-1431.0 +/- 13.2,-1418.9 +/- 13.7,-1407.0 +/- 14.1,-1395.4 +/- 14.5,-1384.1 +/- 14.9,-1372.9 +/- 15.3,-1361.9 +/- 15.6,-1351.1 +/- 16.0,-1340.5 +/- 16.3,-1330.0 +/- 16.6,-1319.7 +/- 16.9,-1309.5 +/- 17.2,-1299.4 +/- 17.5,-1289.4 +/- 17.8,-1279.6 +/- 18.1,-1269.8 +/- 18.3,-1260.1 +/- 18.6,-1250.5 +/- 18.9,-1241.0 +/- 19.1,-1231.5 +/- 19.4,-1222.1 +/- 19.6,-1212.7 +/- 19.8,-1203.4 +/- 20.1,-1194.1 +/- 20.3,-1184.9 +/- 20.5,-1175.7 +/- 20.7,-1166.6 +/- 21.0,-1157.5 +/- 21.2,-1148.4 +/- 21.4,-1139.3 +/- 21.6,-1130.2 +/- 21.8,-1121.2 +/- 22.0,-1112.2 +/- 22.2,-1103.2 +/- 22.4,-1094.2 +/- 22.6,-1085.3 +/- 22.8
scuola14,-1567.0 +/- 1.0,-1552.0 +/- 3.9,-1536.8 +/- 5.5,-1521.3 +/- 6.8,-1505.6 +/- 7.8,-1489.6 +/- 8.8,-1473.1 +/- 9.7,-1456.2 +/- 10.5,-1438.8 +/- 11.3,-1420.8 +/- 12.1,-1402.3 +/- 12.8,-1383.2 +/- 13.6,-1363.5 +/- 14.3,-1343.1 +/- 15.0,-1322.0 +/- 15.7,-1300.2 +/- 16.3,-1277.7 +/- 17.0,-1254.4 +/- 17.7,-1230.5 +/- 18.3,-1205.7 +/- 19.0,-1180.2 +/- 19.7,-1154.0 +/- 20.3,-1127.0 +/- 21.0,-1099.3 +/- 21.6,-1070.8 +/- 22.3,-1041.6 +/- 22.9,-1011.6 +/- 23.6,-980.9 +/- 24.2,-949.5 +/- 24.8,-917.5 +/- 25.5,-884.7 +/- 26.1,-851.2 +/- 26.8,-817.2 +/- 27.4,-782.4 +/- 28.0,-747.1 +/- 28.6,-711.2 +/- 29.3,-674.6 +/- 29.9,-637.6 +/- 30.5,-599.9 +/- 31.1,-561.8 +/- 31.7,-523.1 +/- 32.3,-484.0 +/- 32.9,-444.4 +/- 33.5,-404.4 +/- 34.1,-363.9 +/- 34.7,-323.0 +/- 35.3,-281.8 +/- 35.9,-240.1 +/- 36.4
FuoriLombardiaEmiliaVeneto,-1471.0 +/- 1.0,-1452.4 +/- 4.3,-1433.1 +/- 6.2,-1413.1 +/- 7.6,-1392.1 +/- 8.9,-1370.1 +/- 10.0,-1346.9 +/- 11.1,-1322.3 +/- 12.2,-1296.3 +/- 13.2,-1268.8 +/- 14.2,-1239.6 +/- 15.2,-1208.6 +/- 16.2,-1175.7 +/- 17.2,-1140.9 +/- 18.2,-1104.1 +/- 19.2,-1065.1 +/- 20.1,-1024.0 +/- 21.1,-980.5 +/- 22.1,-934.8 +/- 23.2,-886.7 +/- 24.2,-836.3 +/- 25.2,-783.3 +/- 26.2,-727.9 +/- 27.3,-670.1 +/- 28.3,-609.7 +/- 29.3,-546.8 +/- 30.4,-481.4 +/- 31.5,-413.6 +/- 32.5,-343.2 +/- 33.6,-270.4 +/- 34.7,-195.1 +/- 35.7,-117.4 +/- 36.8,-37.3 +/- 37.9,0.0 +/- 0.0,129.9 +/- 40.0,217.0 +/- 41.1,306.2 +/- 42.2,397.6 +/- 43.2,491.1 +/- 44.3,586.6 +/- 45.4,684.2 +/- 46.4,783.6 +/- 47.5,885.0 +/- 48.5,988.1 +/- 49.6,1093.0 +/- 50.6,1199.5 +/- 51.7,1307.7 +/- 52.7,1417.4 +/- 53.7
Nord,-836.0 +/- 1.0,-900.3 +/- 1.0,-927.8 +/- 1.0,-923.3 +/- 1.0,-918.5 +/- 1.0,-913.7 +/- 1.0,-908.9 +/- 1.0,-904.1 +/- 1.0,-899.3 +/- 1.0,-894.6 +/- 1.0,-889.8 +/- 1.0,-885.1 +/- 1.0,-880.4 +/- 1.0,-875.7 +/- 1.0,-871.0 +/- 1.0,-866.3 +/- 1.0,-861.6 +/- 1.0,-856.9 +/- 1.0,-852.2 +/- 1.0,-847.5 +/- 1.0,-842.8 +/- 1.0,-838.1 +/- 1.0,-833.4 +/- 1.6,-828.7 +/- 2.7,-824.1 +/- 3.5,-819.4 +/- 4.1,-814.7 +/- 4.6,-810.0 +/- 5.1,-805.3 +/- 5.5,-800.6 +/- 5.9,-795.9 +/- 6.3,-791.2 +/- 6.7,-786.5 +/- 7.0,-781.9 +/- 7.4,-777.2 +/- 7.7,-772.5 +/- 8.0,-767.8 +/- 8.3,-763.1 +/- 8.5,-758.4 +/- 8.8,-753.7 +/- 9.1,-749.0 +/- 9.3,-744.4 +/- 9.6,-739.7 +/- 9.8,-735.0 +/- 10.1,-730.3 +/- 10.3,-725.6 +/- 10.5,-720.9 +/- 10.7,-716.2 +/- 10.9
Sud,-540.0 +/- 1.0,-533.4 +/- 2.6,-526.7 +/- 3.7,-519.6 +/- 4.5,-512.2 +/- 5.3,-504.5 +/- 6.0,-496.4 +/- 6.6,-487.8 +/- 7.2,-478.7 +/- 7.8,-469.2 +/- 8.4,-459.1 +/- 9.0,-448.4 +/- 9.6,-437.1 +/- 10.1,-425.2 +/- 10.7,-412.6 +/- 11.3,-399.3 +/- 11.9,-385.2 +/- 12.4,-370.4 +/- 13.0,-354.8 +/- 13.6,-338.4 +/- 14.2,-321.2 +/- 14.8,-303.1 +/- 15.4,-284.1 +/- 16.0,-264.3 +/- 16.6,-243.5 +/- 17.2,-221.8 +/- 17.8,-199.2 +/- 18.5,-175.6 +/- 19.1,-151.1 +/- 19.7,-125.6 +/- 20.4,-99.1 +/- 21.0,-71.6 +/- 21.6,-43.1 +/- 22.3,-13.6 +/- 22.9,0.0 +/- 0.0,48.3 +/- 24.3,80.8 +/- 24.9,114.3 +/- 25.6,148.8 +/- 26.2,184.4 +/- 26.9,220.9 +/- 27.6,258.4 +/- 28.3,296.9 +/- 28.9,336.4 +/- 29.6,376.9 +/- 30.3,418.3 +/- 31.0,460.7 +/- 31.6,504.1 +/- 32.3
scuola24,-430.0 +/- 1.0,-426.2 +/- 1.9,-422.4 +/- 2.7,-418.6 +/- 3.4,-414.7 +/- 3.9,-410.6 +/- 4.4,-406.4 +/- 4.9,-402.1 +/- 5.3,-397.5 +/- 5.7,-392.7 +/- 6.1,-387.7 +/- 6.5,-382.4 +/- 6.9,-376.8 +/- 7.3,-370.8 +/- 7.7,-364.6 +/- 8.1,-357.9 +/- 8.5,-350.9 +/- 8.9,-343.4 +/- 9.3,-335.6 +/- 9.7,-327.2 +/- 10.1,-318.4 +/- 10.6,-309.2 +/- 11.0,-299.4 +/- 11.4,-289.1 +/- 11.9,-278.2 +/- 12.3,-266.8 +/- 12.8,-254.9 +/- 13.2,-242.3 +/- 13.7,-229.2 +/- 14.2,-215.5 +/- 14.6,-201.1 +/- 15.1,-186.2 +/- 15.6,-170.6 +/- 16.1,-154.4 +/- 16.6,-137.5 +/- 17.1,-120.0 +/- 17.6,-101.8 +/- 18.1,-82.9 +/- 18.6,-63.4 +/- 19.1,-43.2 +/- 19.7,-22.3 +/- 20.2,0.0 +/- 0.0,0.0 +/- 0.0,44.4 +/- 21.8,68.0 +/- 22.3,92.3 +/- 22.9,117.3 +/- 23.4,142.9 +/- 23.9
Lombardia,-441.0 +/- 1.0,-440.2 +/- 0.9,-439.6 +/- 1.2,-439.1 +/- 1.4,-438.8 +/- 1.5,-438.7 +/- 1.5,-438.7 +/- 1.5,-438.8 +/- 1.5,-439.1 +/- 1.4,-439.4 +/- 1.2,-439.9 +/- 1.0,-440.6 +/- 0.7,-441.3 +/- 1.0,-442.0 +/- 1.0,-442.9 +/- 1.0,-443.9 +/- 1.0,-444.9 +/- 1.0,-445.9 +/- 1.0,-447.0 +/- 1.0,-448.2 +/- 1.0,-449.3 +/- 1.0,-450.5 +/- 1.0,-451.7 +/- 1.0,-452.9 +/- 1.0,-454.1 +/- 1.0,-455.3 +/- 1.0,-456.4 +/- 1.0,-457.6 +/- 1.0,-458.6 +/- 1.0,-459.7 +/- 1.0,-460.7 +/- 1.0,-461.6 +/- 1.0,-462.4 +/- 1.0,-463.1 +/- 1.0,-463.8 +/- 1.0,-464.3 +/- 1.0,-464.8 +/- 1.0,-465.1 +/- 1.0,-465.3 +/- 1.0,-465.4 +/- 1.0,-465.3 +/- 1.0,-465.1 +/- 1.0,-464.7 +/- 1.0,-464.1 +/- 1.0,-463.4 +/- 1.0,-462.5 +/- 1.0,-461.4 +/- 1.0,-460.2 +/- 1.0
Centro,-499.0 +/- 1.0,-494.3 +/- 2.2,-489.5 +/- 3.1,-484.8 +/- 3.8,-480.0 +/- 4.4,-475.1 +/- 4.9,-470.0 +/- 5.4,-464.9 +/- 5.8,-459.5 +/- 6.3,-453.8 +/- 6.7,-447.9 +/- 7.1,-441.8 +/- 7.6,-435.2 +/- 8.0,-428.3 +/- 8.4,-421.0 +/- 8.8,-413.3 +/- 9.3,-405.1 +/- 9.7,-396.4 +/- 10.1,-387.3 +/- 10.6,-377.5 +/- 11.0,-367.2 +/- 11.5,-356.3 +/- 11.9,-344.8 +/- 12.4,-332.7 +/- 12.9,-319.8 +/- 13.4,-306.4 +/- 13.9,-292.2 +/- 14.4,-277.3 +/- 14.9,-261.7 +/- 15.4,-245.4 +/- 15.9,-228.3 +/- 16.5,-210.4 +/- 17.0,-191.8 +/- 17.5,-172.4 +/- 18.1,-152.2 +/- 18.6,-131.2 +/- 19.2,-109.5 +/- 19.7,-86.9 +/- 20.3,-63.6 +/- 20.9,-39.4 +/- 21.4,-14.5 +/- 22.0,0.0 +/- 0.0,0.0 +/- 0.0,65.1 +/- 23.8,93.1 +/- 24.3,122.0 +/- 24.9,151.6 +/- 25.5,181.9 +/- 26.1
Veneto,-135.0 +/- 1.0,-134.1 +/- 0.9,-133.3 +/- 1.3,-132.6 +/- 1.6,-131.9 +/- 1.8,-131.2 +/- 1.9,-130.6 +/- 2.1,-130.1 +/- 2.2,-129.5 +/- 2.3,-129.0 +/- 2.4,-128.6 +/- 2.5,-128.1 +/- 2.6,-127.7 +/- 2.7,-127.4 +/- 2.8,-127.0 +/- 2.8,-126.7 +/- 2.9,-126.4 +/- 2.9,-126.1 +/- 3.0,-125.9 +/- 3.0,-125.6 +/- 3.1,-125.4 +/- 3.1,-125.2 +/- 3.1,-125.0 +/- 3.2,-124.8 +/- 3.2,-124.7 +/- 3.2,-124.5 +/- 3.2,-124.4 +/- 3.3,-124.3 +/- 3.3,-124.1 +/- 3.3,-124.0 +/- 3.3,-123.9 +/- 3.3,-123.8 +/- 3.3,-123.8 +/- 3.4,-123.7 +/- 3.4,-123.6 +/- 3.4,-123.5 +/- 3.4,-123.5 +/- 3.4,-123.4 +/- 3.4,-123.3 +/- 3.4,-123.3 +/- 3.4,-123.2 +/- 3.4,-123.2 +/- 3.4,-123.2 +/- 3.4,-123.1 +/- 3.4,-123.1 +/- 3.5,-123.0 +/- 3.5,-123.0 +/- 3.5,-123.0 +/- 3.5
