place,7/5/21,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21
Italia,-392739.0 +/- 1.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0,-392739.0 +/- 0.0
FuoriLombardia,-348663.0 +/- 1.0,-349234.6 +/- 1.0,-349651.9 +/- 1.0,-349914.1 +/- 1.0,-350020.7 +/- 1.0,-349970.8 +/- 1.0,-349763.9 +/- 1.0,-349399.2 +/- 1.0,-348876.1 +/- 1.0,-348194.0 +/- 21.7,-347352.2 +/- 36.2,-346350.1 +/- 48.1,-345187.0 +/- 59.0,-343862.3 +/- 69.3,-342375.4 +/- 79.3,-340725.6 +/- 89.1,-338912.5 +/- 98.7,-336935.3 +/- 108.3,-334793.4 +/- 117.8,-332486.4 +/- 127.2,-330013.5 +/- 136.6,-327374.3 +/- 145.9,-324568.2 +/- 155.2,-321594.5 +/- 164.5,-318452.8 +/- 173.8,-315142.5 +/- 183.1,-311663.0 +/- 192.4
scuola14,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0,-214410.0 +/- 1.0
FuoriLombardiaEmiliaVeneto,-331377.0 +/- 1.0,-331968.1 +/- 1.0,-332408.0 +/- 1.0,-332695.7 +/- 1.0,-332829.8 +/- 1.0,-332809.2 +/- 1.0,-332632.9 +/- 1.0,-332299.6 +/- 1.0,-331808.3 +/- 1.0,-331157.9 +/- 14.8,-330347.2 +/- 32.1,-329375.1 +/- 44.7,-328240.6 +/- 56.0,-326942.6 +/- 66.6,-325480.1 +/- 76.8,-323852.0 +/- 86.7,-322057.2 +/- 96.5,-320094.8 +/- 106.2,-317963.8 +/- 115.8,-315663.1 +/- 125.4,-313191.8 +/- 134.9,-310548.9 +/- 144.3,-307733.4 +/- 153.8,-304744.3 +/- 163.2,-301580.8 +/- 172.6,-298241.9 +/- 182.0,-294726.7 +/- 191.4
Nord,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0,-91007.0 +/- 1.0
Sud,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0,-183366.0 +/- 1.0
scuola24,-163441.0 +/- 1.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0,-163441.0 +/- 0.0
Lombardia,-44076.0 +/- 1.0,-44094.3 +/- 1.0,-44111.1 +/- 1.0,-44126.7 +/- 1.0,-44141.0 +/- 1.0,-44154.1 +/- 1.0,-44166.2 +/- 1.0,-44177.3 +/- 1.0,-44187.6 +/- 1.0,-44196.9 +/- 1.0,-44205.5 +/- 1.0,-44213.4 +/- 1.0,-44220.7 +/- 1.0,-44227.3 +/- 1.0,-44233.3 +/- 1.0,-44238.9 +/- 1.0,-44244.0 +/- 1.0,-44248.6 +/- 1.0,-44252.8 +/- 1.0,-44256.6 +/- 1.0,-44260.2 +/- 1.0,-44263.4 +/- 1.0,-44266.3 +/- 1.0,-44268.9 +/- 1.0,-44271.3 +/- 1.0,-44273.5 +/- 1.0,-44275.5 +/- 1.0
Centro,-75782.0 +/- 1.0,-75884.7 +/- 1.0,-75971.4 +/- 1.0,-76043.2 +/- 1.0,-76101.4 +/- 1.0,-76147.2 +/- 1.0,-76181.6 +/- 1.0,-76205.6 +/- 1.0,-76220.2 +/- 1.0,-76226.2 +/- 1.0,-76224.6 +/- 1.0,-76216.0 +/- 1.0,-76201.2 +/- 1.0,-76180.7 +/- 1.0,-76155.3 +/- 1.0,-76125.4 +/- 1.0,-76091.5 +/- 1.0,-76054.1 +/- 1.0,-76013.6 +/- 1.0,-75970.3 +/- 1.0,-75924.6 +/- 1.0,-75876.7 +/- 1.0,-75827.0 +/- 1.0,-75775.6 +/- 2.5,-75722.8 +/- 7.7,-75668.8 +/- 10.6,-75613.6 +/- 13.0
Veneto,-17286.0 +/- 1.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0,-17286.0 +/- 0.0
