place,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21,8/1/21,8/2/21,8/3/21,8/4/21,8/5/21,8/6/21,8/7/21,8/8/21,8/9/21,8/10/21,8/11/21,8/12/21,8/13/21,8/14/21,8/15/21,8/16/21,8/17/21,8/18/21,8/19/21,8/20/21,8/21/21,8/22/21,8/23/21,8/24/21,8/25/21,8/26/21,8/27/21,8/28/21,8/29/21,8/30/21,8/31/21,9/1/21,9/2/21,9/3/21,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21,9/21/21,9/22/21,9/23/21,9/24/21,9/25/21,9/26/21,9/27/21,9/28/21,9/29/21,9/30/21
Italia,1.0,172.9,384.4,653.3,994.4,1425.5,1968.6,2650.1,3502.2,4563.9,5882.4,7514.4,9528.3,12006.7,15048.4,18772.7,23322.0,28867.6,35614.2,43807.0,53739.2,65760.8,80290.0,97825.6,118962.2,144408.7,175008.9,211767.5,255879.4,308765.5,372114.5,447932.1,538600.1,646945.1,776320.2,930702.2,1114804.8,1334213.9,1595546.5,1906637.7,2276762.9,2716898.4,3240029.3,3861513.2,4599507.8,5475475.8,6514779.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FuoriLombardia,1.0,129.2,282.2,473.4,711.9,1008.7,1376.7,1831.6,2392.0,3079.9,3921.8,4948.8,6198.2,7713.6,9547.2,11760.3,14425.5,17628.1,21469.2,26067.6,31563.1,38120.4,45932.8,55227.7,66272.0,79378.9,94915.6,113312.9,135075.1,160793.0,191158.3,226980.0,269204.4,318937.7,377472.6,446319.0,527240.1,622294.3,733883.0,864808.0,1018336.1,1198276.1,1409066.7,1655879.4,1944738.1,2282657.4,2677803.3,3139680.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scuola14,1.0,128.9,284.8,485.1,741.7,1069.8,1487.7,2017.9,2688.0,3531.6,4589.9,5912.6,7560.4,9607.0,12141.4,15271.7,19128.3,23868.9,29683.9,36802.8,45502.2,56115.0,69041.8,84763.9,103860.0,127024.3,155090.2,189056.6,230120.9,279717.1,339562.0,411710.0,498617.7,603222.5,729033.9,880243.9,1061857.7,1279848.9,1541344.5,1854844.2,2230481.6,2680334.2,3218791.7,3862993.4,4633347.5,5554147.2,6654303.0,7968209.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FuoriLombardiaEmiliaVeneto,1.0,111.4,241.8,403.6,603.8,851.1,1155.6,1529.2,1986.2,2543.4,3220.6,4041.1,5032.3,6226.6,7661.8,9382.4,11440.5,13897.1,16823.6,20303.5,24434.4,29330.2,35123.9,41970.5,50051.0,59575.7,70790.1,83979.3,99475.4,117664.3,138994.5,163986.8,193246.3,227475.1,267487.6,314228.7,368793.8,432452.2,506674.8,593165.1,693895.5,811149.3,947568.4,1106209.4,1290607.2,1504849.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nord,1.0,87.5,198.1,345.2,538.8,791.6,1118.6,1538.6,2074.0,2752.2,3606.6,4677.3,6013.0,7672.6,9727.1,12261.8,15379.7,19204.5,23884.8,29598.9,36560.8,45026.6,55302.9,67756.7,82826.5,101036.2,123011.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sud,1.0,76.2,167.9,286.0,436.9,628.5,869.8,1171.6,1546.5,2009.5,2578.2,3273.2,4118.7,5143.2,6379.8,7867.7,9652.2,11786.7,14333.2,17364.3,20964.2,25231.4,30280.3,36244.0,43277.2,51559.7,61299.9,72740.1,86160.8,101887.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scuola24,1.0,49.2,103.7,170.1,250.7,348.1,465.1,605.0,771.4,968.4,1200.8,1473.6,1793.0,2165.5,2598.6,3100.8,3681.6,4351.7,5123.1,6009.2,7025.2,8188.1,9516.9,11033.0,12760.3,14725.5,16958.7,19493.5,22367.4,25622.3,29305.1,33468.4,38170.7,43477.4,49461.5,56204.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lombardia,1.0,53.9,118.9,202.4,309.0,444.5,615.8,831.3,1101.1,1437.2,1854.2,2369.6,3004.2,3782.9,4735.5,5897.7,7311.8,9028.3,11107.5,13620.6,16652.7,20304.6,24695.9,29968.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centro,1.0,64.5,141.8,240.3,365.3,522.9,720.1,965.7,1269.8,1644.4,2103.7,2664.7,3347.2,4174.6,5174.6,6379.6,7827.9,9564.4,11641.6,14121.6,17076.6,20591.6,24765.9,29715.6,35576.6,42507.6,50693.8,60351.5,71733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Veneto,1.0,16.9,25.0,32.2,39.2,46.2,53.5,61.1,69.2,77.8,87.2,97.3,108.3,120.2,133.2,147.4,163.0,180.0,198.7,219.2,241.6,266.3,293.4,323.2,355.9,391.8,431.3,474.8,522.5,575.0,632.8,696.3,766.2,843.0,927.5,1020.5,1122.8,1235.3,1359.0,1495.1,1644.8,1809.5,1990.7,2190.1,2409.3,2650.5,2915.9,3207.8,3528.9,3882.2,4270.8,4698.3,5168.7,5686.0,6255.2,6881.4,7570.2,8328.0,9161.6,10078.6,11087.5,12197.3,13418.2,14761.4,16238.9,17864.4,19652.6,21619.8,23783.9,26164.6,28783.6,31664.7,34834.3,38321.1,42156.9,46376.7,51018.8,56125.7
Campania,1.0,27.2,54.3,85.4,120.9,161.4,207.7,260.3,320.0,387.5,463.7,549.6,646.1,754.3,875.3,1010.5,1161.2,1328.9,1515.1,1721.7,1950.5,2203.6,2483.0,2791.4,3131.0,3504.9,3916.0,4367.5,4862.9,5406.0,6001.0,6652.3,7364.6,8143.0,8993.2,9921.2,10933.3,12036.7,13238.7,14547.7,15972.2,17521.7,19206.4,21037.2,23025.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EmiliaRomagna,1.0,34.5,76.9,132.9,206.5,302.2,425.8,584.2,785.9,1041.1,1362.4,1764.7,2266.2,2888.9,3659.2,4609.1,5776.9,7208.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piemonte,1.0,24.4,54.5,94.0,145.2,211.1,295.2,401.7,535.5,702.7,910.4,1167.2,1483.3,1870.8,2344.3,2920.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lazio,1.0,58.1,134.3,239.6,383.8,580.0,844.9,1200.3,1673.8,2301.1,3127.8,4212.0,5627.9,7469.7,9857.3,12942.6,16918.0,22027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puglia,1.0,18.9,41.4,70.2,106.9,153.5,212.1,285.5,377.0,490.3,629.8,800.9,1009.8,1263.9,1571.8,1943.6,2391.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
